ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,          NT11
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           115,       3.23990,  -359.940E-03,            0.,NA,NA,"",       29.0884
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           116,       3.23867,  -339.941E-03,            0.,NA,NA,"",       29.0887
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           117,       3.23744,  -319.942E-03,            0.,NA,NA,"",       29.0891
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           118,       3.23621,  -299.944E-03,            0.,NA,NA,"",       29.0894
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           119,       3.23499,  -279.946E-03,            0.,NA,NA,"",       29.0898
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           120,       3.23376,  -259.947E-03,            0.,NA,NA,"",       29.0902
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           121,       3.23253,  -239.949E-03,            0.,NA,NA,"",       29.0906
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           122,       3.23130,  -219.951E-03,            0.,NA,NA,"",       29.0911
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           123,       3.23007,  -199.952E-03,            0.,NA,NA,"",       29.0915
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           124,       3.22885,  -179.954E-03,            0.,NA,NA,"",       29.0920
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           125,       3.22762,  -159.956E-03,            0.,NA,NA,"",       29.0924
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           126,       3.22639,  -139.957E-03,            0.,NA,NA,"",       29.0929
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           127,       3.22516,  -119.959E-03,            0.,NA,NA,"",       29.0934
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           128,       3.22393,  -99.9603E-03,            0.,NA,NA,"",       29.0939
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           129,       3.22271,  -79.9618E-03,            0.,NA,NA,"",       29.0944
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           130,       3.22148,  -59.9635E-03,            0.,NA,NA,"",       29.0949
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           131,       3.22025,  -39.9649E-03,            0.,NA,NA,"",       29.0954
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           132,       3.21902,  -19.9666E-03,            0.,NA,NA,"",       29.0959
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           133,       3.21779,   31.9500E-06,            0.,NA,NA,"",       29.0964
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           134,       3.21657,   20.0303E-03,            0.,NA,NA,"",       29.0969
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           135,       3.21534,   40.0286E-03,            0.,NA,NA,"",       29.0974
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           136,       3.21411,   60.0271E-03,            0.,NA,NA,"",       29.0979
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           137,       3.21288,   80.0254E-03,            0.,NA,NA,"",       29.0984
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           138,       3.21165,   100.024E-03,            0.,NA,NA,"",       29.0989
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           139,       3.21043,   120.022E-03,            0.,NA,NA,"",       29.0994
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           140,       3.20920,   140.021E-03,            0.,NA,NA,"",       29.0998
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           141,       3.20797,   160.019E-03,            0.,NA,NA,"",       29.1003
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           142,       3.20674,   180.017E-03,            0.,NA,NA,"",       29.1007
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           143,       3.20551,   200.016E-03,            0.,NA,NA,"",       29.1011
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           144,       3.20429,   220.014E-03,            0.,NA,NA,"",       29.1015
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           145,       3.20306,   240.013E-03,            0.,NA,NA,"",       29.1019
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           146,       3.20183,   260.011E-03,            0.,NA,NA,"",       29.1023
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           147,       3.20060,   280.010E-03,            0.,NA,NA,"",       29.1026
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           148,       3.19937,   300.008E-03,            0.,NA,NA,"",       29.1029
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           149,       3.19815,   320.006E-03,            0.,NA,NA,"",       29.1032
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           150,       3.19692,   340.005E-03,            0.,NA,NA,"",       29.1035
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           151,       3.19569,   360.003E-03,            0.,NA,NA,"",       29.1038
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           152,       3.19446,   380.002E-03,            0.,NA,NA,"",       29.1041
